"id","matchDate","Country","League","Season","homeTeam","awayTeam","HBPFT","ABPFT","HBP1H","ABP1H","HBP2H","ABP2H","HTSFT","ATSFT","HTS1H","ATS1H","HTS2H","ATS2H","HSONFT","ASONFT","HSON1H","ASON1H","HSON2H","ASON2H","HSOFFFT","ASOFFFT","HSOFF1H","ASOFF1H","HSOFF2H","ASOFF2H"
"120952","30-05-26 18:00","Europe","Champions League","2025/2026","PSG","Arsenal","75","25","77","23","74","26","18","4","6","3","12","1","3","1","1","1","2","0","11","0","4","0","7","0"
"119190","06-05-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","PSG","66","34","58","42","73","27","18","15","9","6","9","9","6","7","1","3","5","4","7","3","6","0","1","3"
"119184","05-05-26 21:00","Europe","Champions League","2025/2026","Arsenal","Atl. Madrid","53","47","68","32","36","64","13","9","7","2","6","7","2","2","2","0","0","2","8","4","3","1","5","3"
"118852","29-04-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Arsenal","52","48","48","52","55","45","18","11","5","6","13","5","4","2","1","1","3","1","8","4","2","2","6","2"
"118846","28-04-26 21:00","Europe","Champions League","2025/2026","PSG","Bayern Munich","43","57","49","51","35","65","12","10","9","3","3","7","5","8","3","3","2","5","3","1","2","0","1","1"
"118123","15-04-26 21:00","Europe","Champions League","2025/2026","Arsenal","Sporting CP","50","50","56","44","44","56","15","8","8","3","7","5","1","1","1","0","0","1","8","6","2","3","6","3"
"118124","15-04-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","Real Madrid","68","32","66","34","71","29","21","12","10","5","11","7","9","5","5","3","4","2","5","4","2","1","3","3"
"118107","14-04-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Barcelona","29","71","35","65","22","78","15","15","6","7","9","8","5","8","1","6","4","2","6","3","1","1","5","2"
"118108","14-04-26 21:00","Europe","Champions League","2025/2026","Liverpool","PSG","53","47","38","62","69","31","21","12","4","8","17","4","5","6","1","3","4","3","9","2","2","2","7","0"
"117782","08-04-26 21:00","Europe","Champions League","2025/2026","Barcelona","Atl. Madrid","58","42","57","43","60","40","18","5","10","4","8","1","7","3","5","2","2","1","7","1","3","1","4","0"
"117783","08-04-26 21:00","Europe","Champions League","2025/2026","PSG","Liverpool","74","26","75","25","74","26","18","3","8","0","10","3","6","0","4","0","2","0","6","1","2","0","4","1"
"117769","07-04-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Bayern Munich","48","52","41","59","56","44","20","20","9","8","11","12","9","8","4","3","5","5","8","6","3","2","5","4"
"117770","07-04-26 21:00","Europe","Champions League","2025/2026","Sporting CP","Arsenal","44","56","48","52","40","60","11","8","5","4","6","4","5","4","2","1","3","3","4","2","2","1","2","1"
"112850","18-03-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","Atalanta","70","30","76","24","65","35","25","14","16","2","9","12","8","8","5","1","3","7","9","5","5","1","4","4"
"112851","18-03-26 21:00","Europe","Champions League","2025/2026","Liverpool","Galatasaray","62","38","62","38","62","38","32","4","15","3","17","1","16","1","8","1","8","0","10","2","3","1","7","1"
"112852","18-03-26 21:00","Europe","Champions League","2025/2026","Tottenham","Atl. Madrid","51","49","46","54","58","42","18","18","7","8","11","10","11","6","6","2","5","4","1","3","0","3","1","0"
"112849","18-03-26 18:45","Europe","Champions League","2025/2026","Barcelona","Newcastle","63","37","56","44","69","31","18","8","9","4","9","4","13","5","5","3","8","2","2","2","2","1","0","1"
"111413","17-03-26 21:00","Europe","Champions League","2025/2026","Arsenal","Bayer Leverkusen","42","58","51","49","32","68","21","9","12","2","9","7","12","2","7","1","5","1","5","5","4","0","1","5"
"111414","17-03-26 21:00","Europe","Champions League","2025/2026","Chelsea","PSG","45","55","52","48","39","61","18","8","9","6","9","2","9","5","3","4","6","1","3","3","1","2","2","1"
"111415","17-03-26 21:00","Europe","Champions League","2025/2026","Manchester City","Real Madrid","47","53","53","47","42","58","22","14","10","10","12","4","8","7","5","5","3","2","8","6","3","4","5","2"
"111412","17-03-26 18:45","Europe","Champions League","2025/2026","Sporting CP","Bodo/Glimt","66","34","74","26","70","30","34","6","15","4","19","2","12","2","5","0","7","2","12","3","6","3","6","0"
"104038","11-03-26 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Sporting CP","49","51","54","46","43","57","10","9","6","3","4","6","5","2","3","1","2","1","3","3","2","0","1","3"
"104039","11-03-26 21:00","Europe","Champions League","2025/2026","PSG","Chelsea","58","42","57","43","60","40","9","9","6","6","3","3","8","4","5","3","3","1","0","3","0","2","0","1"
"104040","11-03-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Manchester City","40","60","45","55","35","65","12","8","6","3","6","5","7","4","4","1","3","3","2","2","0","2","2","0"
"104041","11-03-26 18:45","Europe","Champions League","2025/2026","Bayer Leverkusen","Arsenal","45","55","45","55","46","54","10","6","6","3","4","3","3","2","1","1","2","1","4","3","2","1","2","2"
"102386","10-03-26 21:00","Europe","Champions League","2025/2026","Atalanta","Bayern Munich","31","69","27","73","35","65","11","25","3","14","8","11","3","13","1","7","2","6","4","8","1","4","3","4"
"102387","10-03-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Tottenham","58","42","70","30","48","52","11","11","9","5","2","6","7","5","5","2","2","3","2","5","2","2","0","3"
"102388","10-03-26 21:00","Europe","Champions League","2025/2026","Newcastle","Barcelona","46","54","44","56","47","53","16","9","5","5","11","4","4","2","2","1","2","1","6","5","1","2","5","3"
"102389","10-03-26 18:45","Europe","Champions League","2025/2026","Galatasaray","Liverpool","46","54","50","50","42","58","15","15","9","6","6","9","4","6","3","3","1","3","9","6","5","2","4","4"
"97325","25-02-26 21:00","Europe","Champions League","2025/2026","Juventus","Galatasaray","47","53","58","42","39","61","22","11","9","3","13","8","8","5","4","2","4","3","10","4","5","1","5","3"
"97326","25-02-26 21:00","Europe","Champions League","2025/2026","PSG","Monaco","73","27","67","33","78","22","21","10","7","6","14","4","6","4","0","3","6","1","6","5","5","3","1","2"
"97327","25-02-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Benfica","56","44","58","42","53","47","14","12","7","6","7","6","4","4","3","4","1","0","6","3","1","1","5","2"
"97328","25-02-26 18:45","Europe","Champions League","2025/2026","Atalanta","Dortmund","44","56","52","48","36","64","15","7","8","3","7","4","9","4","4","1","5","3","4","2","2","1","2","1"
"97305","24-02-26 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","Olympiacos Piraeus","47","53","47","53","47","53","7","7","3","1","4","6","1","1","1","0","0","1","6","3","2","1","4","2"
"97306","24-02-26 21:00","Europe","Champions League","2025/2026","Inter","Bodo/Glimt","71","29","74","26","67","33","30","7","12","1","18","6","7","5","4","1","3","4","16","2","5","0","11","2"
"97307","24-02-26 21:00","Europe","Champions League","2025/2026","Newcastle","Qarabag","65","35","67","33","63","37","19","13","6","5","13","8","8","6","4","1","4","5","4","5","1","4","3","1"
"97308","24-02-26 18:45","Europe","Champions League","2025/2026","Atl. Madrid","Club Brugge KV","45","55","52","48","38","62","14","11","6","6","8","5","5","6","1","4","4","2","5","1","4","0","1","1"
"97024","18-02-26 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Inter","42","58","49","51","35","65","8","15","3","10","5","5","6","4","2","3","4","1","1","7","1","4","0","3"
"97025","18-02-26 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Atl. Madrid","58","42","55","45","61","39","17","13","6","10","11","3","10","4","3","3","7","1","4","4","2","3","2","1"
"97026","18-02-26 21:00","Europe","Champions League","2025/2026","Olympiacos Piraeus","Bayer Leverkusen","42","58","47","53","37","63","13","8","5","4","8","4","1","5","1","2","0","3","6","3","1","2","5","1"
"97027","18-02-26 18:45","Europe","Champions League","2025/2026","Qarabag","Newcastle","42","58","50","50","36","64","8","22","0","16","8","6","2","14","0","11","2","3","3","3","0","1","3","2"
"95925","17-02-26 21:00","Europe","Champions League","2025/2026","Benfica","Real Madrid","42","58","42","58","41","59","10","16","6","10","4","6","3","7","3","4","0","3","4","4","2","3","2","1"
"95926","17-02-26 21:00","Europe","Champions League","2025/2026","Dortmund","Atalanta","44","56","50","50","39","61","9","7","7","2","2","5","2","3","2","1","0","2","4","2","3","1","1","1"
"95927","17-02-26 21:00","Europe","Champions League","2025/2026","Monaco","PSG","20","80","23","77","16","84","7","30","6","11","1","19","4","10","3","5","1","5","3","10","3","4","0","6"
"95928","17-02-26 18:45","Europe","Champions League","2025/2026","Galatasaray","Juventus","62","38","58","42","66","34","22","7","13","5","9","2","9","3","4","3","5","0","7","2","5","1","2","1"
"87967","28-01-26 21:00","Europe","Champions League","2025/2026","Ajax","Olympiacos Piraeus","63","37","65","35","62","38","11","11","6","3","5","8","4","3","1","1","3","2","4","3","3","1","1","2"
"87968","28-01-26 21:00","Europe","Champions League","2025/2026","Arsenal","Kairat Almaty","66","34","66","34","65","35","25","4","12","1","13","3","11","2","6","1","5","1","10","2","5","0","5","2"
"87969","28-01-26 21:00","Europe","Champions League","2025/2026","Ath Bilbao","Sporting CP","35","65","36","64","35","65","9","9","7","1","2","8","2","6","2","1","0","5","4","2","2","0","2","2"
"87970","28-01-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Bodo/Glimt","65","35","60","40","69","31","27","11","14","4","13","7","8","7","5","2","3","5","12","2","6","2","6","0"
"87971","28-01-26 21:00","Europe","Champions League","2025/2026","Barcelona","FC Copenhagen","76","24","76","24","77","23","28","6","12","3","16","3","13","1","5","1","8","0","4","2","2","0","2","2"
"87972","28-01-26 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","Villarreal","65","35","63","37","67","33","15","5","11","2","4","3","7","2","5","0","2","2","5","2","3","2","2","0"
"87973","28-01-26 21:00","Europe","Champions League","2025/2026","Benfica","Real Madrid","33","67","37","63","29","71","22","16","14","7","8","9","12","6","6","2","6","4","3","5","2","2","1","3"
"87974","28-01-26 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Marseille","37","63","39","61","36","64","11","18","7","7","4","11","5","9","3","5","2","4","3","5","1","1","2","4"
"87975","28-01-26 21:00","Europe","Champions League","2025/2026","Dortmund","Inter","45","55","47","53","43","57","9","12","4","6","5","6","1","5","1","2","0","3","3","4","1","3","2","1"
"87976","28-01-26 21:00","Europe","Champions League","2025/2026","Eintracht Frankfurt","Tottenham","45","55","39","61","51","49","4","15","2","6","2","9","1","6","0","2","1","4","1","4","1","2","0","2"
"87977","28-01-26 21:00","Europe","Champions League","2025/2026","Liverpool","Qarabag","56","44","49","51","66","34","38","5","16","4","22","1","12","1","5","1","7","0","10","1","3","1","7","0"
"87978","28-01-26 21:00","Europe","Champions League","2025/2026","Manchester City","Galatasaray","50","50","60","40","42","58","10","4","7","1","3","3","5","4","3","1","2","3","2","0","2","0","0","0"
"87979","28-01-26 21:00","Europe","Champions League","2025/2026","Monaco","Juventus","50","50","51","49","50","50","11","5","7","4","4","1","5","0","2","0","3","0","4","3","3","2","1","1"
"87980","28-01-26 21:00","Europe","Champions League","2025/2026","Napoli","Chelsea","46","54","46","54","46","54","8","11","6","6","2","5","5","5","4","3","1","2","2","3","1","2","1","1"
"87981","28-01-26 21:00","Europe","Champions League","2025/2026","Pafos","Slavia Prague","45","55","39","61","51","49","17","13","4","8","13","5","8","3","1","3","7","0","3","7","1","3","2","4"
"87982","28-01-26 21:00","Europe","Champions League","2025/2026","PSG","Newcastle","67","33","68","32","66","34","25","10","8","2","17","8","7","4","5","1","2","3","10","3","2","1","8","2"
"87983","28-01-26 21:00","Europe","Champions League","2025/2026","PSV","Bayern Munich","43","57","43","57","42","58","13","17","9","7","4","10","7","8","6","2","1","6","5","6","3","3","2","3"
"87984","28-01-26 21:00","Europe","Champions League","2025/2026","Royale Union SG","Atalanta","36","64","35","65","37","63","8","13","4","8","4","5","4","2","1","2","3","0","2","4","2","1","0","3"
"83887","21-01-26 21:00","Europe","Champions League","2025/2026","Atalanta","Ath Bilbao","70","30","73","27","67","33","14","4","6","1","8","3","4","3","1","0","3","3","7","1","3","1","4","0"
"83888","21-01-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","Royale Union SG","74","26","73","27","74","26","14","5","6","2","8","3","4","1","1","1","3","0","6","4","3","1","3","3"
"83889","21-01-26 21:00","Europe","Champions League","2025/2026","Chelsea","Pafos","71","29","72","28","71","29","21","4","12","1","9","3","7","2","3","0","4","2","7","0","4","0","3","0"
