"id","matchDate","Country","League","Season","homeTeam","awayTeam","HCFT","ACFT","HC1H","AC1H","HC2H","AC2H","HYCFT","AYCFT","HYC1H","AYC1H","HYC2H","AYC2H"
"120952","30-05-26 18:00","Europe","Champions League","2025/2026","PSG","Arsenal","10","0","4","0","6","0","1","2","0","0","1","2"
"119190","06-05-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","PSG","1","8","0","4","1","4","3","3","1","2","2","1"
"119184","05-05-26 21:00","Europe","Champions League","2025/2026","Arsenal","Atl. Madrid","5","2","3","0","2","2","1","2","0","0","1","2"
"118852","29-04-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Arsenal","6","1","1","1","5","0","1","0","0","0","1","0"
"118846","28-04-26 21:00","Europe","Champions League","2025/2026","PSG","Bayern Munich","2","5","2","1","0","4","3","0","1","0","2","0"
"118123","15-04-26 21:00","Europe","Champions League","2025/2026","Arsenal","Sporting CP","8","3","3","1","5","2","0","1","0","0","0","1"
"118124","15-04-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","Real Madrid","9","2","7","0","2","2","1","5","1","1","0","4"
"118107","14-04-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Barcelona","2","4","1","3","1","1","0","1","0","0","0","1"
"118108","14-04-26 21:00","Europe","Champions League","2025/2026","Liverpool","PSG","8","2","3","2","5","0","2","0","1","0","1","0"
"117782","08-04-26 21:00","Europe","Champions League","2025/2026","Barcelona","Atl. Madrid","7","1","2","1","5","0","2","3","0","2","2","1"
"117783","08-04-26 21:00","Europe","Champions League","2025/2026","PSG","Liverpool","3","1","0","1","3","0","0","2","0","2","0","0"
"117769","07-04-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Bayern Munich","8","11","2","5","6","6","1","4","1","0","0","4"
"117770","07-04-26 21:00","Europe","Champions League","2025/2026","Sporting CP","Arsenal","3","4","0","2","3","2","1","0","1","0","0","0"
"112850","18-03-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","Atalanta","6","3","5","1","1","2","0","0","0","0","0","0"
"112851","18-03-26 21:00","Europe","Champions League","2025/2026","Liverpool","Galatasaray","6","2","3","1","3","1","0","0","0","0","0","0"
"112852","18-03-26 21:00","Europe","Champions League","2025/2026","Tottenham","Atl. Madrid","7","7","4","4","3","3","4","3","0","1","4","2"
"112849","18-03-26 18:45","Europe","Champions League","2025/2026","Barcelona","Newcastle","6","2","5","1","1","1","1","3","1","2","0","1"
"111413","17-03-26 21:00","Europe","Champions League","2025/2026","Arsenal","Bayer Leverkusen","10","8","7","3","3","5","0","1","0","0","0","1"
"111414","17-03-26 21:00","Europe","Champions League","2025/2026","Chelsea","PSG","9","3","9","1","0","2","0","0","0","0","0","0"
"111415","17-03-26 21:00","Europe","Champions League","2025/2026","Manchester City","Real Madrid","9","6","4","3","5","3","1","2","1","0","0","2"
"111412","17-03-26 18:45","Europe","Champions League","2025/2026","Sporting CP","Bodo/Glimt","15","1","5","1","10","0","2","2","0","1","2","1"
"104038","11-03-26 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Sporting CP","4","5","2","2","2","3","2","1","1","1","1","0"
"104039","11-03-26 21:00","Europe","Champions League","2025/2026","PSG","Chelsea","2","3","1","2","1","1","1","0","0","0","1","0"
"104040","11-03-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Manchester City","1","10","1","3","0","7","0","2","0","0","0","2"
"104041","11-03-26 18:45","Europe","Champions League","2025/2026","Bayer Leverkusen","Arsenal","2","3","1","0","1","3","4","3","1","1","3","2"
"102386","10-03-26 21:00","Europe","Champions League","2025/2026","Atalanta","Bayern Munich","2","7","1","2","1","5","1","3","0","1","1","2"
"102387","10-03-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Tottenham","4","2","4","1","0","1","0","5","0","1","0","4"
"102388","10-03-26 21:00","Europe","Champions League","2025/2026","Newcastle","Barcelona","9","4","6","3","3","1","2","1","1","0","1","1"
"102389","10-03-26 18:45","Europe","Champions League","2025/2026","Galatasaray","Liverpool","7","4","5","1","2","3","1","4","0","1","1","3"
"97325","25-02-26 21:00","Europe","Champions League","2025/2026","Juventus","Galatasaray","8","3","5","2","3","1","3","3","3","2","0","1"
"97326","25-02-26 21:00","Europe","Champions League","2025/2026","PSG","Monaco","8","4","0","4","8","0","1","6","0","1","1","5"
"97327","25-02-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Benfica","4","7","2","3","2","4","2","2","0","1","2","1"
"97328","25-02-26 18:45","Europe","Champions League","2025/2026","Atalanta","Dortmund","5","1","5","0","0","1","1","5","0","1","1","4"
"97305","24-02-26 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","Olympiacos Piraeus","4","5","2","1","2","4","0","1","0","0","0","1"
"97306","24-02-26 21:00","Europe","Champions League","2025/2026","Inter","Bodo/Glimt","16","1","7","0","9","1","0","1","0","0","0","1"
"97307","24-02-26 21:00","Europe","Champions League","2025/2026","Newcastle","Qarabag","9","6","2","3","7","3","0","1","0","0","0","1"
"97308","24-02-26 18:45","Europe","Champions League","2025/2026","Atl. Madrid","Club Brugge KV","2","7","0","4","2","3","1","2","0","1","1","1"
"97024","18-02-26 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Inter","3","3","1","2","2","1","1","1","0","1","1","0"
"97025","18-02-26 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Atl. Madrid","4","6","1","4","3","2","2","2","1","0","1","2"
"97026","18-02-26 21:00","Europe","Champions League","2025/2026","Olympiacos Piraeus","Bayer Leverkusen","3","3","1","1","2","2","1","1","1","1","0","0"
"97027","18-02-26 18:45","Europe","Champions League","2025/2026","Qarabag","Newcastle","8","6","4","6","4","0","0","1","0","0","0","1"
"95925","17-02-26 21:00","Europe","Champions League","2025/2026","Benfica","Real Madrid","3","6","1","3","2","3","4","2","0","0","4","2"
"95926","17-02-26 21:00","Europe","Champions League","2025/2026","Dortmund","Atalanta","3","2","1","1","2","1","2","3","1","3","1","0"
"95927","17-02-26 21:00","Europe","Champions League","2025/2026","Monaco","PSG","1","8","0","2","1","6","2","0","2","0","0","0"
"95928","17-02-26 18:45","Europe","Champions League","2025/2026","Galatasaray","Juventus","5","5","4","2","1","3","1","4","1","2","0","2"
"87967","28-01-26 21:00","Europe","Champions League","2025/2026","Ajax","Olympiacos Piraeus","5","4","3","2","2","2","0","2","0","1","0","1"
"87968","28-01-26 21:00","Europe","Champions League","2025/2026","Arsenal","Kairat Almaty","11","0","3","0","8","0","1","1","1","0","0","1"
"87969","28-01-26 21:00","Europe","Champions League","2025/2026","Ath Bilbao","Sporting CP","6","7","3","2","3","5","4","5","2","2","2","3"
"87970","28-01-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Bodo/Glimt","12","1","8","1","4","0","2","2","0","0","2","2"
"87971","28-01-26 21:00","Europe","Champions League","2025/2026","Barcelona","FC Copenhagen","10","1","6","0","4","1","1","4","1","2","0","2"
"87972","28-01-26 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","Villarreal","4","1","1","0","3","1","0","3","0","1","0","2"
"87973","28-01-26 21:00","Europe","Champions League","2025/2026","Benfica","Real Madrid","6","5","5","1","1","4","2","7","1","2","1","5"
"87974","28-01-26 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Marseille","4","10","3","2","1","8","1","2","0","1","1","1"
"87975","28-01-26 21:00","Europe","Champions League","2025/2026","Dortmund","Inter","5","3","1","0","4","3","1","2","0","0","1","2"
"87976","28-01-26 21:00","Europe","Champions League","2025/2026","Eintracht Frankfurt","Tottenham","0","5","0","3","0","2","0","2","0","0","0","2"
"87977","28-01-26 21:00","Europe","Champions League","2025/2026","Liverpool","Qarabag","14","1","5","1","9","0","0","1","0","0","0","1"
"87978","28-01-26 21:00","Europe","Champions League","2025/2026","Manchester City","Galatasaray","4","4","4","1","0","3","0","1","0","1","0","0"
"87979","28-01-26 21:00","Europe","Champions League","2025/2026","Monaco","Juventus","6","0","5","0","1","0","3","2","1","0","2","2"
"87980","28-01-26 21:00","Europe","Champions League","2025/2026","Napoli","Chelsea","4","1","3","1","1","0","2","1","1","0","1","1"
"87981","28-01-26 21:00","Europe","Champions League","2025/2026","Pafos","Slavia Prague","8","2","3","0","5","2","2","2","0","1","2","1"
