"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"120952","30-05-26 18:00","Europe","Champions League","2025/2026","PSG","Arsenal","1","1","D","0","1","A","1","0","H"
"119190","06-05-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","PSG","1","1","D","0","1","A","1","0","H"
"119184","05-05-26 21:00","Europe","Champions League","2025/2026","Arsenal","Atl. Madrid","1","0","H","1","0","H","0","0","D"
"118852","29-04-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Arsenal","1","1","D","0","1","A","1","0","H"
"118846","28-04-26 21:00","Europe","Champions League","2025/2026","PSG","Bayern Munich","5","4","H","3","2","H","2","2","D"
"118123","15-04-26 21:00","Europe","Champions League","2025/2026","Arsenal","Sporting CP","0","0","D","0","0","D","0","0","D"
"118124","15-04-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","Real Madrid","4","3","H","2","3","A","2","0","H"
"118107","14-04-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Barcelona","1","2","A","1","2","A","0","0","D"
"118108","14-04-26 21:00","Europe","Champions League","2025/2026","Liverpool","PSG","0","2","A","0","0","D","0","2","A"
"117782","08-04-26 21:00","Europe","Champions League","2025/2026","Barcelona","Atl. Madrid","0","2","A","0","1","A","0","1","A"
"117783","08-04-26 21:00","Europe","Champions League","2025/2026","PSG","Liverpool","2","0","H","1","0","H","1","0","H"
"117769","07-04-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Bayern Munich","1","2","A","0","1","A","1","1","D"
"117770","07-04-26 21:00","Europe","Champions League","2025/2026","Sporting CP","Arsenal","0","1","A","0","0","D","0","1","A"
"112850","18-03-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","Atalanta","4","1","H","1","0","H","3","1","H"
"112851","18-03-26 21:00","Europe","Champions League","2025/2026","Liverpool","Galatasaray","4","0","H","1","0","H","3","0","H"
"112852","18-03-26 21:00","Europe","Champions League","2025/2026","Tottenham","Atl. Madrid","3","2","H","1","0","H","2","2","D"
"112849","18-03-26 18:45","Europe","Champions League","2025/2026","Barcelona","Newcastle","7","2","H","3","2","H","4","0","H"
"111413","17-03-26 21:00","Europe","Champions League","2025/2026","Arsenal","Bayer Leverkusen","2","0","H","1","0","H","1","0","H"
"111414","17-03-26 21:00","Europe","Champions League","2025/2026","Chelsea","PSG","0","3","A","0","2","A","0","1","A"
"111415","17-03-26 21:00","Europe","Champions League","2025/2026","Manchester City","Real Madrid","1","2","A","1","1","D","0","1","A"
"111412","17-03-26 18:45","Europe","Champions League","2025/2026","Sporting CP","Bodo/Glimt","3","0","H","1","0","H","2","0","H"
"104038","11-03-26 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Sporting CP","3","0","H","2","0","H","1","0","H"
"104039","11-03-26 21:00","Europe","Champions League","2025/2026","PSG","Chelsea","5","2","H","2","1","H","3","1","H"
"104040","11-03-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Manchester City","3","0","H","3","0","H","0","0","D"
"104041","11-03-26 18:45","Europe","Champions League","2025/2026","Bayer Leverkusen","Arsenal","1","1","D","0","0","D","1","1","D"
"102386","10-03-26 21:00","Europe","Champions League","2025/2026","Atalanta","Bayern Munich","1","6","A","0","3","A","1","3","A"
"102387","10-03-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Tottenham","5","2","H","4","1","H","1","1","D"
"102388","10-03-26 21:00","Europe","Champions League","2025/2026","Newcastle","Barcelona","1","1","D","0","0","D","1","1","D"
"102389","10-03-26 18:45","Europe","Champions League","2025/2026","Galatasaray","Liverpool","1","0","H","1","0","H","0","0","D"
"97325","25-02-26 21:00","Europe","Champions League","2025/2026","Juventus","Galatasaray","3","0","H","1","0","H","2","0","H"
"97326","25-02-26 21:00","Europe","Champions League","2025/2026","PSG","Monaco","2","2","D","0","1","A","2","1","H"
