"id","matchDate","Country","League","Season","homeTeam","awayTeam","homeXGFT","awayXGFT","homeXG1H","awayXG1H","homeXG2H","awayXG2H"
"120952","30-05-26 18:00","Europe","Champions League","2025/2026","PSG","Arsenal","1.73","0.50","0.23","0.41","1.36","0.01"
"119190","06-05-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","PSG","1.40","1.06","0.72","0.54","0.68","0.52"
"119184","05-05-26 21:00","Europe","Champions League","2025/2026","Arsenal","Atl. Madrid","1.56","0.99","0.93","0.15","0.63","0.84"
"118852","29-04-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Arsenal","2.21","1.51","0.22","1.25","1.99","0.26"
"118846","28-04-26 21:00","Europe","Champions League","2025/2026","PSG","Bayern Munich","1.90","3.06","1.64","1.53","0.26","1.53"
"118123","15-04-26 21:00","Europe","Champions League","2025/2026","Arsenal","Sporting CP","0.64","0.29","0.33","0.09","0.31","0.20"
"118124","15-04-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","Real Madrid","2.14","2.25","1.42","1.52","0.72","0.73"
"118107","14-04-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Barcelona","1.78","2.22","0.96","1.56","0.82","0.66"
"118108","14-04-26 21:00","Europe","Champions League","2025/2026","Liverpool","PSG","1.94","1.25","0.45","0.60","1.49","0.65"
"117782","08-04-26 21:00","Europe","Champions League","2025/2026","Barcelona","Atl. Madrid","1.10","0.43","0.52","0.34","0.58","0.09"
"117783","08-04-26 21:00","Europe","Champions League","2025/2026","PSG","Liverpool","2.35","0.17","0.73","0.00","1.62","0.17"
"117769","07-04-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Bayern Munich","2.20","2.92","0.81","2.20","1.39","0.72"
"117770","07-04-26 21:00","Europe","Champions League","2025/2026","Sporting CP","Arsenal","0.71","1.33","0.25","0.50","0.46","0.83"
"112850","18-03-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","Atalanta","3.61","2.30","2.15","0.62","1.46","1.68"
"112851","18-03-26 21:00","Europe","Champions League","2025/2026","Liverpool","Galatasaray","4.87","0.18","2.23","0.16","2.64","0.02"
"112852","18-03-26 21:00","Europe","Champions League","2025/2026","Tottenham","Atl. Madrid","2.45","1.04","0.86","0.21","1.59","0.83"
"112849","18-03-26 18:45","Europe","Champions League","2025/2026","Barcelona","Newcastle","4.28","1.52","1.95","1.36","2.33","0.16"
"111413","17-03-26 21:00","Europe","Champions League","2025/2026","Arsenal","Bayer Leverkusen","1.70","0.52","1.09","0.05","0.61","0.47"
"111414","17-03-26 21:00","Europe","Champions League","2025/2026","Chelsea","PSG","1.26","1.09","0.69","0.94","0.57","0.15"
"111415","17-03-26 21:00","Europe","Champions League","2025/2026","Manchester City","Real Madrid","1.91","2.93","1.23","2.04","0.68","0.89"
"111412","17-03-26 18:45","Europe","Champions League","2025/2026","Sporting CP","Bodo/Glimt","3.77","0.53","1.20","0.23","2.20","0.18"
"104038","11-03-26 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Sporting CP","2.78","0.61","1.92","0.21","0.86","0.40"
"104039","11-03-26 21:00","Europe","Champions League","2025/2026","PSG","Chelsea","0.90","1.56","0.44","0.81","0.46","0.75"
"104040","11-03-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Manchester City","2.63","0.58","1.54","0.35","1.09","0.23"
"104041","11-03-26 18:45","Europe","Champions League","2025/2026","Bayer Leverkusen","Arsenal","0.85","1.64","0.32","0.38","0.53","1.26"
"102386","10-03-26 21:00","Europe","Champions League","2025/2026","Atalanta","Bayern Munich","1.68","4.84","0.35","3.00","1.33","1.84"
"102387","10-03-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Tottenham","3.11","1.41","2.69","0.28","0.42","1.13"
"102388","10-03-26 21:00","Europe","Champions League","2025/2026","Newcastle","Barcelona","1.30","1.42","0.27","0.34","1.03","1.08"
"102389","10-03-26 18:45","Europe","Champions League","2025/2026","Galatasaray","Liverpool","1.34","1.31","1.12","0.43","0.22","0.88"
"97325","25-02-26 21:00","Europe","Champions League","2025/2026","Juventus","Galatasaray","5.20","2.01","2.23","0.22","2.53","0.86"
"97326","25-02-26 21:00","Europe","Champions League","2025/2026","PSG","Monaco","2.21","1.33","0.55","0.82","1.66","0.51"
"97327","25-02-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Benfica","1.11","1.64","0.40","1.10","0.71","0.54"
"97328","25-02-26 18:45","Europe","Champions League","2025/2026","Atalanta","Dortmund","2.61","0.93","0.93","0.44","1.68","0.49"
"97305","24-02-26 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","Olympiacos Piraeus","0.69","0.21","0.22","0.04","0.47","0.17"
"97306","24-02-26 21:00","Europe","Champions League","2025/2026","Inter","Bodo/Glimt","2.29","1.74","0.62","0.13","1.67","1.61"
"97307","24-02-26 21:00","Europe","Champions League","2025/2026","Newcastle","Qarabag","2.66","1.30","1.55","0.24","1.11","1.06"
"97308","24-02-26 18:45","Europe","Champions League","2025/2026","Atl. Madrid","Club Brugge KV","2.09","1.74","0.66","1.59","1.43","0.15"
"97024","18-02-26 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Inter","1.20","1.56","0.61","1.04","0.59","0.52"
"97025","18-02-26 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Atl. Madrid","2.32","2.33","0.39","1.77","1.93","0.56"
"97026","18-02-26 21:00","Europe","Champions League","2025/2026","Olympiacos Piraeus","Bayer Leverkusen","0.87","1.95","0.27","1.23","0.60","0.72"
"97027","18-02-26 18:45","Europe","Champions League","2025/2026","Qarabag","Newcastle","0.46","5.69","0.00","4.83","0.46","0.86"
"95925","17-02-26 21:00","Europe","Champions League","2025/2026","Benfica","Real Madrid","0.47","0.89","0.18","0.70","0.29","0.19"
"95926","17-02-26 21:00","Europe","Champions League","2025/2026","Dortmund","Atalanta","2.09","0.46","1.94","0.20","0.15","0.26"
"95927","17-02-26 21:00","Europe","Champions League","2025/2026","Monaco","PSG","1.20","3.09","1.17","1.60","0.03","1.49"
"95928","17-02-26 18:45","Europe","Champions League","2025/2026","Galatasaray","Juventus","2.92","1.12","0.75","0.99","2.17","0.13"
"87967","28-01-26 21:00","Europe","Champions League","2025/2026","Ajax","Olympiacos Piraeus","1.88","0.53","0.84","0.20","1.04","0.33"
"87968","28-01-26 21:00","Europe","Champions League","2025/2026","Arsenal","Kairat Almaty","4.07","1.11","3.34","0.79","0.73","0.32"
